MAL_ID,Score,Score-1,Score-2,Score-3,Score-4,Score-5,Score-6,Score-7,Score-8,Score-9,Score-10,Ranked,Popularity
5862,5.95,6.0,8.0,9.0,26.0,65.0,90.0,68.0,25.0,6.0,8.0,8392.0,10843
5865,6.61,8.0,6.0,11.0,20.0,83.0,172.0,225.0,113.0,41.0,36.0,5344.0,9274
5868,4.66,50.0,72.0,78.0,124.0,176.0,95.0,49.0,12.0,8.0,11.0,10872.0,10102
5869,5.38,20.0,29.0,53.0,68.0,154.0,141.0,81.0,28.0,9.0,11.0,9947.0,10418
5870,4.95,27.0,50.0,57.0,81.0,148.0,83.0,46.0,16.0,4.0,12.0,10655.0,10535
5871,5.04,24.0,28.0,44.0,48.0,130.0,62.0,37.0,11.0,6.0,9.0,10562.0,11047
5872,5.08,32.0,31.0,47.0,65.0,125.0,93.0,54.0,17.0,7.0,11.0,10518.0,10917
5873,5.43,33.0,33.0,43.0,83.0,189.0,163.0,109.0,50.0,12.0,13.0,9837.0,9814
5874,5.25,17.0,17.0,27.0,48.0,94.0,60.0,34.0,7.0,6.0,5.0,10211.0,11687
5875,5.93,38.0,46.0,57.0,105.0,290.0,397.0,298.0,129.0,55.0,48.0,8456.0,8248
5876,5.79,8.0,4.0,12.0,21.0,49.0,48.0,32.0,12.0,6.0,11.0,8898.0,11057
5877,2.5,1697.0,453.0,172.0,80.0,70.0,47.0,29.0,15.0,12.0,207.0,11069.0,6805
5878,5.71,7.0,13.0,18.0,38.0,64.0,69.0,49.0,22.0,8.0,8.0,9137.0,10632
5880,5.14,26.0,35.0,52.0,67.0,203.0,134.0,58.0,23.0,4.0,6.0,10408.0,10437
5883,6.37,16.0,24.0,36.0,55.0,118.0,165.0,197.0,106.0,48.0,34.0,6547.0,7267
5886,Unknown,2.0,4.0,2.0,6.0,16.0,24.0,18.0,5.0,6.0,9.0,15195.0,12580
5889,5.7,15.0,14.0,17.0,26.0,59.0,52.0,38.0,31.0,7.0,18.0,9175.0,11248
5890,5.65,75.0,64.0,101.0,164.0,298.0,339.0,267.0,131.0,48.0,72.0,Unknown,6911
5891,6.72,5.0,7.0,5.0,19.0,65.0,92.0,99.0,78.0,42.0,34.0,4800.0,9708
5895,Unknown,3.0,1.0,2.0,1.0,10.0,20.0,33.0,17.0,11.0,17.0,12519.0,11561
5900,6.23,6.0,3.0,4.0,8.0,22.0,34.0,32.0,16.0,8.0,7.0,7226.0,11088
5902,6.64,330.0,379.0,499.0,984.0,1745.0,2795.0,3711.0,2629.0,1656.0,1265.0,Unknown,3035
5904,4.74,52.0,68.0,100.0,128.0,172.0,112.0,83.0,12.0,6.0,12.0,10798.0,9357
5907,5.58,13.0,12.0,36.0,69.0,143.0,122.0,82.0,32.0,14.0,7.0,9487.0,8994
5908,6.15,7.0,6.0,10.0,22.0,69.0,62.0,84.0,31.0,10.0,18.0,7562.0,10909
5909,7.36,268.0,320.0,696.0,1853.0,4831.0,10141.0,21896.0,19980.0,9553.0,5093.0,2075.0,894
5914,6.89,93.0,115.0,202.0,553.0,1463.0,2598.0,4251.0,2695.0,1080.0,682.0,4075.0,2790
5916,Unknown,1.0,Unknown,Unknown,Unknown,4.0,2.0,9.0,4.0,7.0,3.0,13839.0,14548
5917,6.33,Unknown,3.0,4.0,16.0,34.0,54.0,51.0,32.0,11.0,14.0,6747.0,11563
5918,5.7,30.0,49.0,107.0,185.0,316.0,388.0,329.0,128.0,50.0,28.0,9132.0,7047
5920,5.55,14.0,8.0,18.0,34.0,60.0,62.0,32.0,11.0,4.0,7.0,9564.0,10618
5921,Unknown,3.0,2.0,3.0,7.0,17.0,16.0,20.0,10.0,1.0,9.0,12749.0,11303
5922,Unknown,2.0,1.0,1.0,5.0,13.0,16.0,19.0,11.0,1.0,10.0,12433.0,11682
5923,6.12,3.0,2.0,5.0,5.0,33.0,30.0,25.0,13.0,8.0,6.0,7735.0,11058
5924,6.08,41.0,22.0,31.0,46.0,144.0,204.0,194.0,109.0,43.0,33.0,Unknown,7847
5925,6.3,6.0,5.0,12.0,26.0,96.0,145.0,117.0,55.0,23.0,22.0,6860.0,9946
5926,5.58,10.0,11.0,22.0,54.0,100.0,109.0,75.0,19.0,4.0,10.0,9470.0,10164
5927,5.89,8.0,7.0,8.0,21.0,42.0,53.0,44.0,14.0,5.0,8.0,8572.0,10908
5928,5.82,3.0,4.0,11.0,30.0,49.0,73.0,46.0,10.0,5.0,8.0,8777.0,11124
5929,7.15,1.0,2.0,1.0,8.0,20.0,32.0,67.0,69.0,41.0,46.0,2993.0,9888
5930,Unknown,5.0,5.0,5.0,4.0,18.0,15.0,15.0,5.0,3.0,7.0,14321.0,12705
5931,5.71,10.0,6.0,7.0,26.0,32.0,36.0,24.0,8.0,2.0,10.0,9115.0,11549
5933,6.36,7.0,5.0,5.0,14.0,28.0,57.0,56.0,30.0,13.0,13.0,6609.0,11145
5934,4.93,9.0,27.0,44.0,55.0,63.0,48.0,23.0,5.0,2.0,8.0,10671.0,11165
5935,6.16,6.0,2.0,5.0,3.0,31.0,41.0,26.0,18.0,6.0,15.0,7508.0,11403
5936,6.19,3.0,6.0,8.0,21.0,36.0,52.0,54.0,30.0,13.0,15.0,7420.0,10665
5938,6.46,5.0,3.0,9.0,19.0,42.0,62.0,76.0,29.0,30.0,24.0,6116.0,9564
5940,6.74,370.0,585.0,1409.0,3470.0,8091.0,15122.0,22633.0,13064.0,5035.0,2625.0,4725.0,999
5941,8.43,365.0,84.0,133.0,375.0,893.0,2094.0,5872.0,11168.0,12389.0,9244.0,136.0,1392
5943,Unknown,6.0,4.0,10.0,8.0,16.0,16.0,11.0,2.0,Unknown,2.0,12461.0,13036
5945,6.64,80.0,87.0,142.0,305.0,546.0,745.0,932.0,470.0,190.0,155.0,5168.0,4555
5947,7.3,91.0,61.0,139.0,265.0,943.0,1684.0,3215.0,2605.0,1486.0,1334.0,2351.0,3211
5953,6.65,6.0,4.0,7.0,18.0,76.0,133.0,142.0,83.0,36.0,40.0,5153.0,8862
5955,6.96,145.0,195.0,353.0,772.0,2284.0,4470.0,6818.0,4394.0,2229.0,1734.0,3765.0,2341
5956,6.06,3.0,7.0,8.0,17.0,34.0,60.0,52.0,24.0,6.0,10.0,7976.0,11558
5957,6.53,239.0,307.0,492.0,890.0,2017.0,3340.0,3918.0,2428.0,1058.0,947.0,5714.0,3130
5958,7.36,1223.0,1671.0,3097.0,6619.0,13818.0,27856.0,54276.0,51544.0,28961.0,21835.0,2082.0,338
